acc,superkingdom,phylum
AGC83576.1,NA,NA
AGC83576.1,NA,NA
ADQ74618.1,NA,NA
ADY76664.1,NA,NA
ADY76667.1,NA,NA
ADY76674.1,NA,NA
ADY76684.1,NA,NA
CAQ18831.1,NA,NA
CAQ18839.1,NA,NA
AAG02356.1,NA,NA
AAG02365.1,NA,NA
ABC36785.1,NA,NA
ABC36785.1,NA,NA
ABC36785.1,NA,NA
ABC39418.1,NA,NA
BAP05589.1,NA,NA
BAP05590.1,NA,NA
BAP05591.1,NA,NA
BAP05596.1,NA,NA
BAP05597.1,NA,NA
CAO91861.1,NA,NA
CAJ46691.1,NA,NA
CAJ46692.1,NA,NA
CAJ46692.1,NA,NA
CAQ43084.1,NA,NA
CBW54672.1,NA,NA
CAJ76289.1,NA,NA
CAJ76290.1,NA,NA
CAJ76290.1,NA,NA
CAJ76292.1,NA,NA
CAJ76298.1,NA,NA
CCC55921.1,NA,NA
CCC55922.1,NA,NA
ABM21571.1,NA,NA
ABM21572.1,NA,NA
ABM21572.1,NA,NA
ABX60161.1,NA,NA
EAW09117.1,NA,NA
AAY42397.1,NA,NA
AAY42398.1,NA,NA
AAY42398.1,NA,NA
CAD89775.1,NA,NA
CAD89778.1,NA,NA
CAD15508.1,NA,NA
CAD15513.1,NA,NA
AAO62582.1,NA,NA
AAO62586.1,NA,NA
AAO62586.1,NA,NA
AAO62588.1,NA,NA
AAF00958.1,NA,NA
AAF00960.1,NA,NA
AAF00960.1,NA,NA
AAF00961.1,NA,NA
AAF00961.1,NA,NA
CAG29032.1,NA,NA
CAG29032.1,NA,NA
CAG29032.1,NA,NA
AAF19812.1,NA,NA
AAF19815.1,NA,NA
AAF17281.1,NA,NA
AAF17281.1,NA,NA
EAL85113.2,NA,NA
ABL74936.1,NA,NA
ABL74936.1,NA,NA
ABL74937.1,NA,NA
